Exp_number,Grid,Stimuli_1,Stimuli_2,Exemplar,Species,Present,Approach,Playback,Post
9,1,SUFW,WBSC,2,NHHE,1,1,1,0
9,1,SUFW,WBSC,2,REWA,1,0,0,1
9,1,SUFW,WBSC,2,EASP,1,1,0,0
9,1,SUFW,WBSC,2,BRTH,0,0,0,0
9,1,SUFW,WBSC,2,CRRO,1,0,0,0
9,1,SUFW,WBSC,2,PICU,1,0,0,1
10,2,CRRO,NA,1,WBSC,1,0,0,0
10,2,CRRO,NA,1,SUFW,0,0,0,0
10,2,CRRO,NA,1,NHHE,1,0,0,0
10,2,CRRO,NA,1,REWA,0,0,0,0
10,2,CRRO,NA,1,EASP,1,0,0,0
10,2,CRRO,NA,1,BRTH,0,0,0,0
10,2,CRRO,NA,1,CRRO,1,1,1,1
10,2,CRRO,NA,1,PICU,1,0,0,1
3,2,NHHE,NHHE,1,WBSC,0,0,0,0
3,2,NHHE,NHHE,1,SUFW,1,0,0,0
3,2,NHHE,NHHE,1,NHHE,1,1,0,1
3,2,NHHE,NHHE,1,REWA,0,0,0,0
3,2,NHHE,NHHE,1,EASP,1,0,0,0
3,2,NHHE,NHHE,1,BRTH,0,0,0,0
3,2,NHHE,NHHE,1,CRRO,0,0,0,0
3,2,NHHE,NHHE,1,PICU,0,0,0,0
4,2,REWA,REWA,1,WBSC,0,0,0,0
4,2,REWA,REWA,1,SUFW,0,0,0,0
4,2,REWA,REWA,1,NHHE,0,0,0,0
4,2,REWA,REWA,1,REWA,0,0,0,0
4,2,REWA,REWA,1,EASP,1,0,0,0
4,2,REWA,REWA,1,BRTH,0,0,0,0
4,2,REWA,REWA,1,CRRO,1,0,0,0
4,2,REWA,REWA,1,PICU,0,0,0,0
7,2,SUFW,SUFW,1,WBSC,1,0,0,0
7,2,SUFW,SUFW,1,SUFW,1,0,0,0
7,2,SUFW,SUFW,1,NHHE,0,0,0,0
7,2,SUFW,SUFW,1,REWA,0,0,0,0
7,2,SUFW,SUFW,1,EASP,1,0,0,0
7,2,SUFW,SUFW,1,BRTH,0,0,0,0
7,2,SUFW,SUFW,1,CRRO,0,0,0,0
7,2,SUFW,SUFW,1,PICU,0,0,0,0
11,2,WBSC,WBSC,1,WBSC,1,1,1,1
11,2,WBSC,WBSC,1,SUFW,0,0,0,0
11,2,WBSC,WBSC,1,NHHE,0,0,0,0
11,2,WBSC,WBSC,1,REWA,1,0,0,1
11,2,WBSC,WBSC,1,EASP,0,0,0,0
11,2,WBSC,WBSC,1,BRTH,0,0,0,0
11,2,WBSC,WBSC,1,CRRO,1,0,0,0
11,2,WBSC,WBSC,1,PICU,1,0,0,0
8,2,NHHE,REWA,1,WBSC,0,0,0,0
8,2,NHHE,REWA,1,SUFW,1,1,0,1
8,2,NHHE,REWA,1,NHHE,1,0,0,1
8,2,NHHE,REWA,1,REWA,0,0,0,0
8,2,NHHE,REWA,1,EASP,0,0,0,0
8,2,NHHE,REWA,1,BRTH,1,0,0,0
8,2,NHHE,REWA,1,CRRO,0,0,0,0
8,2,NHHE,REWA,1,PICU,1,1,1,0
2,2,NHHE,SUFW,1,WBSC,0,0,0,0
2,2,NHHE,SUFW,1,SUFW,0,0,0,0
2,2,NHHE,SUFW,1,NHHE,1,1,1,0
2,2,NHHE,SUFW,1,REWA,0,0,0,0
2,2,NHHE,SUFW,1,EASP,0,0,0,0
2,2,NHHE,SUFW,1,BRTH,0,0,0,0
2,2,NHHE,SUFW,1,CRRO,0,0,0,0
2,2,NHHE,SUFW,1,PICU,0,0,0,0
9,2,NHHE,WBSC,1,WBSC,1,0,0,0
